rank,country,region,score,gdp,health_life_expectancy,freedom,perceptions_of_corruption,generosity,dystopia_residual
75,Hong Kong,Eastern Asia,5.457999999999999,1.5107,0.9527700000000001,0.48078999999999994,0.31647,0.40097,0.92614
76,Somalia,Sub-Saharan Africa,5.44,0.0,0.11465999999999998,0.5677800000000001,0.3118,0.27225,3.8377199999999996
77,Kosovo,Central and Eastern Europe,5.401,0.90145,0.54,0.14396,0.06547,0.27992,2.80998
78,Turkey,Middle East and Northern Africa,5.388999999999999,1.1649200000000002,0.64718,0.23889000000000002,0.12347999999999999,0.04707,2.29074
79,Indonesia,Southeastern Asia,5.314,0.95104,0.49373999999999996,0.39237,0.00322,0.56521,2.03171
80,Jordan,Middle East and Northern Africa,5.303,0.9967299999999999,0.60712,0.36023,0.13297,0.14262,2.20142
81,Azerbaijan,Central and Eastern Europe,5.291,1.12373,0.54504,0.35327,0.17914000000000002,0.0564,2.2735
82,Philippines,Southeastern Asia,5.279,0.81217,0.47036000000000006,0.5485399999999999,0.11757000000000001,0.21674000000000002,2.23484
83,China,Eastern Asia,5.245,1.0278,0.73561,0.44011999999999996,0.02745,0.049589999999999995,2.17087
84,Bhutan,Southern Asia,5.196000000000001,0.8527,0.49759,0.46074,0.1616,0.48546000000000006,1.82916
85,Kyrgyzstan,Central and Eastern Europe,5.185,0.5604399999999999,0.5544899999999999,0.40212,0.047619999999999996,0.38432,2.28136
86,Serbia,Central and Eastern Europe,5.1770000000000005,1.03437,0.6458,0.15718,0.04339,0.20736999999999997,2.2753900000000002
87,Bosnia and Herzegovina,Central and Eastern Europe,5.162999999999999,0.9338299999999999,0.7076600000000001,0.09511,0.0,0.29889,2.48406
88,Montenegro,Central and Eastern Europe,5.1610000000000005,1.07838,0.6353300000000001,0.15111,0.12721,0.17190999999999998,2.2553099999999997
89,Dominican Republic,Latin America and Caribbean,5.155,1.02787,0.5766899999999999,0.52259,0.12372000000000001,0.21286,1.6962599999999999
90,Morocco,Middle East and Northern Africa,5.151,0.8405799999999999,0.5947100000000001,0.25645999999999997,0.08404,0.040530000000000004,2.9489099999999997
91,Hungary,Central and Eastern Europe,5.145,1.24142,0.67608,0.1977,0.044719999999999996,0.099,1.9547299999999999
92,Pakistan,Southern Asia,5.132000000000001,0.68816,0.40306,0.14622000000000002,0.1388,0.31185,3.18286
93,Lebanon,Middle East and Northern Africa,5.129,1.12268,0.76171,0.26228,0.030610000000000002,0.23693000000000003,2.0733900000000003
94,Portugal,Western Europe,5.122999999999999,1.27607,0.7936300000000001,0.44727,0.01521,0.11690999999999999,1.53015
